 1.00000000e-03  4.53295559e-03  1.00000000e-03  4.53288004e-08 
 1.08400560e-03  4.91374658e-03  1.08400560e-03  4.94565535e-08 
 1.25201680e-03  5.67532323e-03  1.25201680e-03  5.83518142e-08 
 1.58803920e-03  7.19844453e-03  1.58803920e-03  7.99807985e-08 
 2.26008400e-03  1.02445592e-02  2.26008400e-03  1.38591974e-07 
 3.60417360e-03  1.63362768e-02  3.60417360e-03  3.17221995e-07 
 6.29235280e-03  2.85176653e-02  6.29235280e-03  9.20071449e-07 
 1.16687112e-02  5.28722584e-02  1.16687112e-02  3.10779799e-06 
 2.24214280e-02  1.01548729e-01  2.24214280e-02  1.14087230e-05 
 4.39268616e-02  1.98770973e-01  4.39268616e-02  4.36913755e-05 
 8.69377289e-02  3.92693980e-01  8.69377289e-02  1.70811595e-04 
 1.00000000e-01  4.51450390e-01  1.00000000e-01  2.25900626e-04 
 1.08602173e-01  4.90095778e-01  1.08602173e-01  2.68021088e-04 
 1.25806520e-01  5.67331252e-01  1.25806520e-01  3.58892915e-04 
 1.60215214e-01  7.21470927e-01  1.60215214e-01  5.80353594e-04 
 2.29032602e-01  1.02843048e+00  2.29032602e-01  1.18146145e-03 
 3.29032602e-01  1.47136305e+00  3.29032602e-01  2.42835004e-03 
 4.29032602e-01  1.91063200e+00  4.29032602e-01  4.11389570e-03 
 5.29032602e-01  2.34627135e+00  5.29032602e-01  6.23372435e-03 
 6.29032602e-01  2.77831481e+00  6.29032602e-01  8.78350308e-03 
 7.29032602e-01  3.20679578e+00  7.29032602e-01  1.17589397e-02 
 8.29032602e-01  3.63174733e+00  8.29032602e-01  1.51557823e-02 
 9.29032602e-01  4.05320223e+00  9.29032602e-01  1.89698191e-02 
 1.02903260e+00  4.47119294e+00  1.02903260e+00  2.31968777e-02 
 1.12903260e+00  4.88575163e+00  1.12903260e+00  2.78328253e-02 
 1.22903260e+00  5.29691015e+00  1.22903260e+00  3.28735675e-02 
 1.32903260e+00  5.70470006e+00  1.32903260e+00  3.83150488e-02 
 1.42903260e+00  6.10915262e+00  1.42903260e+00  4.41532515e-02 
