condenser,chip,coolant_setpoint_C,q_Wcm2,Q_W,Tsurf_C,Tsat_C,Tliq_C,Tin_C,Tout_C,P_kPa,flow
33-tube,plain,40,84.9749,938.1234,86.2414,65.0,51.9313,39.1566,41.994,74.0,0.06
33-tube,plain,40,91.626,1011.5512,88.4037,65.0,53.2292,39.5671,42.6762,74.0,0.06
33-tube,plain,40,100.3193,1107.5249,91.014,65.0,54.7209,40.0358,43.4465,74.0,0.06
33-tube,plain,40,107.7378,1189.4258,93.5472,65.0,56.1471,40.6005,44.2714,74.0,0.06
33-tube,plain,40,114.9785,1269.363,95.84,65.0,57.3771,41.13,45.0958,74.0,0.06
33-tube,plain,50,5.3254,58.7919,58.4459,58.0,49.5359,48.553,48.4439,81.0,0.06
33-tube,plain,50,7.6682,84.6574,60.5971,58.0,49.3944,48.0028,48.001,81.0,0.06
33-tube,plain,50,10.4968,115.8845,63.2069,58.0,49.9294,48.1518,48.2447,81.0,0.06
33-tube,plain,50,13.7001,151.2493,65.8653,58.0,50.5333,48.2917,48.5257,81.0,0.06
33-tube,plain,50,16.8682,186.2251,68.3141,62.0,51.0775,48.3561,48.6868,77.0,0.06
33-tube,plain,50,20.686,228.3733,71.3575,62.0,51.583,48.3769,48.8954,77.0,0.06
33-tube,plain,50,25.6387,283.0518,74.7022,62.0,52.2893,48.4034,49.0789,77.0,0.06
33-tube,plain,50,30.7406,339.3758,77.4078,62.0,52.8541,48.4217,49.2593,77.0,0.06
33-tube,plain,50,35.5608,392.5909,79.793,62.0,53.5863,48.4333,49.4695,77.0,0.06
33-tube,plain,50,41.4865,458.011,81.7272,65.0,54.145,48.4567,49.6863,74.0,0.06
33-tube,plain,50,47.5836,525.3226,83.5441,65.0,55.0129,48.5194,49.9464,74.0,0.06
33-tube,plain,50,47.7144,526.7669,83.4679,68.0,54.9823,48.4993,49.9281,71.0,0.06
33-tube,plain,50,53.8061,594.0189,85.3884,68.0,55.8625,48.5476,50.2214,71.0,0.06
33-tube,plain,50,61.1957,675.601,86.9785,68.0,56.7071,48.6434,50.5528,71.0,0.06
33-tube,plain,50,68.3695,754.7988,89.5447,68.0,58.2402,49.0272,51.1802,71.0,0.06
33-tube,plain,50,68.3742,754.8513,89.5505,68.0,58.1413,48.9576,51.0811,71.0,0.06
33-tube,plain,50,75.5589,834.1703,90.5402,68.0,57.7162,47.4908,49.9341,71.0,0.06
33-tube,plain,50,83.4787,921.605,92.1134,68.0,58.1297,47.035,49.7199,71.0,0.06
33-tube,plain,50,91.3368,1008.358,94.3438,68.0,59.649,47.4526,50.4292,71.0,0.06
