tube_index,x_mm,y_mm,OD_mm,ID_mm
1,-26.0,-6.6429,3.175,1.39
2,-26.0,2.3571,3.175,1.39
3,-20.8,-6.6429,3.175,1.39
4,-20.8,2.3571,3.175,1.39
5,-15.6,-6.6429,3.175,1.39
6,-15.6,2.3571,3.175,1.39
7,-10.4,-6.6429,3.175,1.39
8,-10.4,2.3571,3.175,1.39
9,-5.2,-6.6429,3.175,1.39
10,-5.2,2.3571,3.175,1.39
11,-0.0,-6.6429,3.175,1.39
12,-0.0,2.3571,3.175,1.39
13,5.2,-6.6429,3.175,1.39
14,5.2,2.3571,3.175,1.39
15,10.4,-6.6429,3.175,1.39
16,10.4,2.3571,3.175,1.39
17,15.6,-6.6429,3.175,1.39
18,15.6,2.3571,3.175,1.39
19,20.8,-6.6429,3.175,1.39
20,20.8,2.3571,3.175,1.39
21,26.0,-6.6429,3.175,1.39
22,26.0,2.3571,3.175,1.39
23,-23.4,-2.1429,3.175,1.39
24,-23.4,6.8571,3.175,1.39
25,-18.2,-2.1429,3.175,1.39
26,-18.2,6.8571,3.175,1.39
27,-13.0,-2.1429,3.175,1.39
28,-13.0,6.8571,3.175,1.39
29,-7.8,-2.1429,3.175,1.39
30,-7.8,6.8571,3.175,1.39
31,-2.6,-2.1429,3.175,1.39
32,-2.6,6.8571,3.175,1.39
33,2.6,-2.1429,3.175,1.39
34,2.6,6.8571,3.175,1.39
35,7.8,-2.1429,3.175,1.39
36,7.8,6.8571,3.175,1.39
37,13.0,-2.1429,3.175,1.39
38,13.0,6.8571,3.175,1.39
39,18.2,-2.1429,3.175,1.39
40,18.2,6.8571,3.175,1.39
41,23.4,-2.1429,3.175,1.39
42,23.4,6.8571,3.175,1.39
